mes_id,aeropuerto_oaci,total_operaciones,promedio_operaciones,max_operaciones,min_operaciones,cantidad_registros
200007.0,SCDA,1360.0,1360.0,1360.0,1360.0,1
200007.0,SCEL,3386.0,1128.6666666666667,3166.0,46.0,3
200007.0,SCES,62.0,62.0,62.0,62.0,1
200007.0,SCFA,1572.0,786.0,1564.0,8.0,2
200007.0,SCFM,142.0,142.0,142.0,142.0,1
200007.0,SCGE,101.0,101.0,101.0,101.0,1
200007.0,SCHA,344.0,172.0,342.0,2.0,2
200007.0,SCHR,30.0,30.0,30.0,30.0,1
200007.0,SCIC,457.0,457.0,457.0,457.0,1
200007.0,SCIE,1392.0,696.0,1374.0,18.0,2
200007.0,SCIP,38.0,19.0,19.0,19.0,2
200007.0,SCJO,112.0,112.0,112.0,112.0,1
200007.0,SCLC,174.0,174.0,174.0,174.0,1
200007.0,SCLL,118.0,118.0,118.0,118.0,1
200007.0,SCNT,2.0,2.0,2.0,2.0,1
200007.0,SCRD,384.0,384.0,384.0,384.0,1
200007.0,SCSE,757.0,757.0,757.0,757.0,1
200007.0,SCSR,20.0,20.0,20.0,20.0,1
200007.0,SCTB,5171.0,5171.0,5171.0,5171.0,1
200007.0,SCTC,19.0,19.0,19.0,19.0,1
200007.0,SCTE,1313.0,656.5,1265.0,48.0,2
200007.0,SCTI,2318.0,2318.0,2318.0,2318.0,1
200007.0,SCTN,130.0,130.0,130.0,130.0,1
200007.0,SCVD,183.0,183.0,183.0,183.0,1
200007.0,SCVM,384.0,384.0,384.0,384.0,1
200008.0,SCAP,6.0,6.0,6.0,6.0,1
200008.0,SCAR,611.0,305.5,522.0,89.0,2
200008.0,SCBA,174.0,174.0,174.0,174.0,1
200008.0,SCCC,174.0,174.0,174.0,174.0,1
200008.0,SCCF,343.0,343.0,343.0,343.0,1
200008.0,SCCH,225.0,225.0,225.0,225.0,1
200008.0,SCCI,579.0,579.0,579.0,579.0,1
200008.0,SCCY,303.0,303.0,303.0,303.0,1
