mes_id,aeropuerto_oaci,internacional_domestico,cnt_operaciones
200010.0,SCIP,D,25.0
200010.0,SCIP,I,17.0
200010.0,,D,949.0
200010.0,SCLC,,984.0
200010.0,SCLL,D,54.0
200010.0,SCNT,D,
200010.0,SCNT,I,1.0
200010.0,SCRD,D,865.0
200010.0,SCSE,D,862.0
200010.0,,D,16.0
200010.0,SCTB,D,5615.0
200010.0,SCTC,D,1421.0
200010.0,SCTC,I  ,16.0
200010.0,SCTE,D,1316.0
200010.0  ,SCTE,I,38.0
200010.0,SCTI,D,2321.0
200010.0,SCTN  ,D,197.0
200010.0,SCVD,D,182.0
200010.0,SCVM,D,356.0
200011.0,SCAR,D  ,529.0
200011.0,SCAR,I,108.0
200011.0  ,SCBA,D,341.0
200011.0,SCBA,I,4.0
200011.0,SCCC,D,86.0
200011.0,SCCF,,404.0
200011.0,SCCH,D,6.0
200011.0,SCCI,D,
200011.0,SCCI,I,25.0  
200011.0,SCCY,D,4.0
200011.0,SCDA,D,1391.0
200011.0,SCDA,,58.0
200011.0,SCEL,D,3330.0
200011.0,SCEL,I,2777.0
200011.0,SCES,D,551.0
200011.0,SCFA,D,1644.0
200011.0,SCFA,,4.0
200011.0,SCFM,D,178.0
200011.0,SCFT,D,8.0
200011.0,SCGE,D,276.0
200011.0,SCGZ,D,40.0
200011.0,SCGZ,I,21.0
200011.0,SCHA,D,396.0
200011.0,SCHA,I,4.0
200011.0,SCHR,D,34.0
200011.0,SCIC,D,722.0
200011.0,SCIE  ,D,1434.0
200011.0,SCIE,I,1.0
200011.0,SCIP,D,28.0
200011.0,SCIP,I  ,19.0
200011.0,SCJO,D,1052.0
200011.0,SCLC,D,1503.0
200011.0,SCLL  ,D,33.0
200011.0,SCNT,D,13.0
200011.0,SCRD,D,520.0
200011.0,SCRM,D,2.0  
200011.0,SCSE,D,922.0
200011.0,SCSR,D,22.0
200011.0,SCTB,D,6838.0  
200011.0,SCTC,D,1516.0
200011.0,SCTC,I,7.0
200011.0,SCTE,D,1440.0
,SCTE,I  ,36.0
200011.0,SCTI,D,3068.0
200011.0,SCTN,D,265.0
200011.0,SCVD,D,172.0
200011.0,SCVM,D,314.0
200012.0,SCAP,D,4.0
200012.0,,D,482.0
,SCAR,I,117.0
200012.0,SCBA,D,
200012.0,SCBA,I,7.0
200012.0,SCCC,D,100.0
200012.0,SCCF,D,387.0
,SCCF,I,2.0
200012.0,SCCH,D,410.0
200012.0,SCCI,D,700.0
200012.0,SCCI,I,22.0
200012.0,SCCY,D,343.0
200012.0,SCDA,D,1430.0
200012.0,SCDA,I,56.0
200012.0,SCEL,D,3200.0
200012.0,SCEL,I,3070.0
200012.0,SCES,D,61.0
200012.0,SCFA,D,1665.0
200012.0,SCFA,I,3.0
